##############################################################################
# Memory Diffs, Focus Probes, and Region Summaries
# Source: BEDiag dumps from real Casio BE-300 hardware
##############################################################################

--- DIFF SUMMARY ---
--- PASS DIFFERENCES ---

#-----------------------------------------------------------------------------
# [DIFF_REGION] (245 entries)
#-----------------------------------------------------------------------------
[DIFF_REGION] pair=settle_to_post name=vrc4173_page_A000 changed_words_total=26 detailed_words_logged=26
[DIFF_REGION] pair=settle_to_post name=vrc4173_page_A000 changed_words_total=28 detailed_words_logged=28
[DIFF_REGION] pair=settle_to_post name=vrc4173_page_A000 changed_words_total=37 detailed_words_logged=32
[DIFF_REGION] pair=settle_to_post name=vrc4173_page_A000 changed_words_total=41 detailed_words_logged=32
[DIFF_REGION] pair=settle_to_post name=vrc4173_page_A000 changed_words_total=42 detailed_words_logged=32
[DIFF_REGION] pair=settle_to_post name=vrc4173_page_A000 changed_words_total=54 detailed_words_logged=32
[DIFF_REGION] pair=settle_to_post name=vrc4173_page_A000 changed_words_total=55 detailed_words_logged=32
[DIFF_REGION] pair=settle_to_post name=vrc4173_page_A000 changed_words_total=56 detailed_words_logged=32
[DIFF_REGION] pair=settle_to_post name=vrc4173_page_A000 changed_words_total=62 detailed_words_logged=32
[DIFF_REGION] pair=settle_to_post name=vrc4173_page_A000 changed_words_total=64 detailed_words_logged=32
[DIFF_REGION] pair=settle_to_post name=vrc4173_page_A000 changed_words_total=78 detailed_words_logged=32
[DIFF_REGION] pair=settle_to_post name=vrc4173_page_C000 changed_words_total=0 detailed_words_logged=0
[DIFF_REGION] pair=settle_to_post name=vrc4173_page_C000 changed_words_total=8 detailed_words_logged=8

#-----------------------------------------------------------------------------
# [DIFF_TOTAL] (65 entries)
#-----------------------------------------------------------------------------
[DIFF_TOTAL] changed_words=181
[DIFF_TOTAL] changed_words=251
[DIFF_TOTAL] pair=early_to_post changed_words_total=159
[DIFF_TOTAL] pair=early_to_post changed_words_total=173
[DIFF_TOTAL] pair=early_to_post changed_words_total=178
[DIFF_TOTAL] pair=early_to_post changed_words_total=188
[DIFF_TOTAL] pair=early_to_post changed_words_total=189
[DIFF_TOTAL] pair=early_to_post changed_words_total=202
[DIFF_TOTAL] pair=early_to_post changed_words_total=205
[DIFF_TOTAL] pair=early_to_post changed_words_total=222
[DIFF_TOTAL] pair=early_to_post changed_words_total=230
[DIFF_TOTAL] pair=early_to_post changed_words_total=241
[DIFF_TOTAL] pair=early_to_post changed_words_total=250
[DIFF_TOTAL] pair=early_to_post changed_words_total=253
[DIFF_TOTAL] pair=early_to_post changed_words_total=261
[DIFF_TOTAL] pair=early_to_post changed_words_total=300
[DIFF_TOTAL] pair=early_to_post changed_words_total=314
[DIFF_TOTAL] pair=early_to_post changed_words_total=360
[DIFF_TOTAL] pair=early_to_post changed_words_total=493
[DIFF_TOTAL] pair=early_to_post changed_words_total=538
[DIFF_TOTAL] pair=early_to_post changed_words_total=675
[DIFF_TOTAL] pair=early_to_post changed_words_total=676
[DIFF_TOTAL] pair=early_to_post changed_words_total=84
[DIFF_TOTAL] pair=early_to_settle changed_words_total=112
[DIFF_TOTAL] pair=early_to_settle changed_words_total=122
[DIFF_TOTAL] pair=early_to_settle changed_words_total=128
[DIFF_TOTAL] pair=early_to_settle changed_words_total=142
[DIFF_TOTAL] pair=early_to_settle changed_words_total=148
[DIFF_TOTAL] pair=early_to_settle changed_words_total=170
[DIFF_TOTAL] pair=early_to_settle changed_words_total=207
[DIFF_TOTAL] pair=early_to_settle changed_words_total=214
[DIFF_TOTAL] pair=early_to_settle changed_words_total=215
[DIFF_TOTAL] pair=early_to_settle changed_words_total=223
[DIFF_TOTAL] pair=early_to_settle changed_words_total=230
[DIFF_TOTAL] pair=early_to_settle changed_words_total=250
[DIFF_TOTAL] pair=early_to_settle changed_words_total=305
[DIFF_TOTAL] pair=early_to_settle changed_words_total=324
[DIFF_TOTAL] pair=early_to_settle changed_words_total=384
[DIFF_TOTAL] pair=early_to_settle changed_words_total=540
[DIFF_TOTAL] pair=early_to_settle changed_words_total=609
[DIFF_TOTAL] pair=early_to_settle changed_words_total=648
